[2025-11-04 03:12:53] ===== Скрипт запущен =====
[2025-11-06 17:00:19] ===== Скрипт запущен =====
[2025-11-06 17:03:32] ===== Скрипт запущен =====
[2025-11-06 14:08:29] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:30] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:32] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:33] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:35] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:36] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:38] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:39] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:41] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:42] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:44] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:45] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:47] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:48] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:50] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:51] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:53] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:54] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:56] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:57] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:08:59] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:09:00] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:09:02] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:09:03] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:09:05] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:09:06] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:09:08] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
[2025-11-06 14:09:09] Photo received from IP: ::1 | Device: __1 | Camera: front | Location: Local, Local | Coordinates: 0, 0
